item_ID,label,description,english,tag_automated,check2_tag_remove,check2_tag_add,check2_tag_new,edited_by,check1_tag_remove,check1_tag_add
1,ik voel me schuldig,negative affect,i feel guilty,negative affect,,,,Milla;Ben,,
2,ik voel me ontspannen,positive affect ,i feel relaxed,positive affect,,,,Milla;Ben,,
3,ik voel me wantrouwig,psychotic symptom,i feel suspicious,psychosis;symptom,,,,Milla;Ben,,
4,ik voel me verdrietig,negative affect,i feel sad,negative affect,,,,Milla;Ben,,
5,ik voel me gestrest ,negative affect,i feel stressed,negative affect;stress,,,,Milla;Ben,,
6,ik voel me rusteloos,negative affect,i feel restless,negative affect,,,,Milla;Ben,,
7,over het algemeen gezien voel ik me nu goed,positive affect,in general i feel well at the moment,positive affect,,,,Milla;Ben,,
8,ik kan me goed concentreren,concentration,i can concentrate well,attention;cognition,,,,Milla;Ben,,
9,ik voel me zeker van mezelf,confidence,i feel self-confident,self-esteem,,,,Milla;Ben,,
10,ik kan mezelf zijn,identity,i can be myself,identity,,,,Milla;Ben,,
11,ik twijfel wie ik ben,identity,i doubt who i am,identity,,,,Milla;Ben,,
12,ik weet waar ik voor sta,identity,i know what i stand for,identity,,,,Milla;Ben,,
13,met wie ben ik?,social context,who is with me?,social context,,,,Milla;Ben,,
14,ik vind het fijn om alleen te zijn,experience of being alone,i find being alone pleasant,appraisal,,,,Milla;Ben,,
15,ik wil alleen zijn,experience of being alone,i want to be alone,appraisal,,,,Milla;Ben,,
16,ik voel me buitengesloten,experience of being alone,i feel an outsider,appraisal,,,,Milla;Ben,,
17,ik wil liever met anderen zijn,experience of being alone,i prefer to have company,appraisal,,,,Milla;Ben,,
18,"we zijn samen iets aan het doen (praten, leren, gamen, etc.) ",experience of social context when in company,"we are doing something together (talking, studying, playing etc.)",appraisal;social context,,,,Milla;Ben,appraisal;social context,social interaction
19,ik voel me op mijn gemak in dit gezelschap,experience of social context when in company,i feel comfortable in this company,appraisal;social context;social support,,,,Milla;Ben,social context,
20,ik voel me gewaardeerd door dit gezelschap,experience of social context when in company,i feel valued in this company,appraisal;social context;social support,,,,Milla;Ben,social context,
21,ik hoor erbij,experience of social context when in company,i belong ,appraisal;social context;social support,,,,Milla;Ben,social context,
22,ik zou liever alleen zijn,experience of social context when in company,i would rather be alone,appraisal;social context,,,,Milla;Ben,social context,
23,ik ben virtueel in contact met anderen,social context,i am in contact with others online,social context,,,,Milla;Ben,,social interaction
24,we zijn samen iets aan het doen,experience of social context when in virtual company,we are doing something together,appraisal;social context,,,,Milla;Ben,social context,
25,ik voel me op mijn gemak in dit gezelschap,experience of social context when in virtual company,i feel comfortable in this company,appraisal;social context;social support,,,,Milla;Ben,social context,
26,ik voel me gewaardeerd door dit gezelschap,experience of social context when in virtual company,i feel valued in this company,appraisal;social context;social support,,,,Milla;Ben,social context,
