"","item_ID","label","description","english","tag_automated","check1_tag_remove","check1_tag_add","tag_automated_check1","check2_tag_remove","check2_tag_add","check2_tag_new","edited_by","tag_final"
"1",1,"ik voel me schuldig","negative affect","i feel guilty","negative affect","","","negative affect","","","","Milla;Ben","negative affect"
"2",2,"ik voel me ontspannen","positive affect ","i feel relaxed","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"3",3,"ik voel me wantrouwig","psychotic symptom","i feel suspicious","psychosis;symptom","","","psychosis;symptom","","","","Milla;Ben","psychosis;symptom"
"4",4,"ik voel me verdrietig","negative affect","i feel sad","negative affect","","","negative affect","","","","Milla;Ben","negative affect"
"5",5,"ik voel me gestrest ","negative affect","i feel stressed","negative affect;stress","","","negative affect;stress","","","","Milla;Ben","negative affect;stress"
"6",6,"ik voel me rusteloos","negative affect","i feel restless","negative affect","","","negative affect","","","","Milla;Ben","negative affect"
"7",7,"over het algemeen gezien voel ik me nu goed","positive affect","in general i feel well at the moment","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"8",8,"ik kan me goed concentreren","concentration","i can concentrate well","attention;cognition","","","attention;cognition","","","","Milla;Ben","attention;cognition"
"9",9,"ik voel me zeker van mezelf","confidence","i feel self-confident","self-esteem","","","self-esteem","","","","Milla;Ben","self-esteem"
"10",10,"ik kan mezelf zijn","identity","i can be myself","identity","","","identity","","","","Milla;Ben","identity"
"11",11,"ik twijfel wie ik ben","identity","i doubt who i am","identity","","","identity","","","","Milla;Ben","identity"
"12",12,"ik weet waar ik voor sta","identity","i know what i stand for","identity","","","identity","","","","Milla;Ben","identity"
"13",13,"met wie ben ik?","social context","who is with me?","social context","","","social context","","","","Milla;Ben","social context"
"14",14,"ik vind het fijn om alleen te zijn","experience of being alone","i find being alone pleasant","appraisal","","","appraisal","","","social experience","Milla;Ben","appraisal"
"15",15,"ik wil alleen zijn","experience of being alone","i want to be alone","appraisal","","","appraisal","","","social experience","Milla;Ben","appraisal"
"16",16,"ik voel me buitengesloten","experience of being alone","i feel an outsider","appraisal","","","appraisal","","","social experience","Milla;Ben","appraisal"
"17",17,"ik wil liever met anderen zijn","experience of being alone","i prefer to have company","appraisal","","","appraisal","","","social experience","Milla;Ben","appraisal"
"18",18,"we zijn samen iets aan het doen (praten, leren, gamen, etc.) ","experience of social context when in company","we are doing something together (talking, studying, playing etc.)","appraisal;social context","appraisal;social context","social interaction","social interaction","","","","Milla;Ben","social interaction"
"19",19,"ik voel me op mijn gemak in dit gezelschap","experience of social context when in company","i feel comfortable in this company","appraisal;social context;social support","social context","","appraisal;social support","","","social experience","Milla;Ben","appraisal;social support"
"20",20,"ik voel me gewaardeerd door dit gezelschap","experience of social context when in company","i feel valued in this company","appraisal;social context;social support","social context","","appraisal;social support","","","social experience","Milla;Ben","appraisal;social support"
"21",21,"ik hoor erbij","experience of social context when in company","i belong ","appraisal;social context;social support","social context","","appraisal;social support","","","social experience","Milla;Ben","appraisal;social support"
"22",22,"ik zou liever alleen zijn","experience of social context when in company","i would rather be alone","appraisal;social context","social context","","appraisal","","","social experience","Milla;Ben","appraisal"
"23",23,"ik ben virtueel in contact met anderen","social context","i am in contact with others online","social context","","social interaction","social context;social interaction","","","","Milla;Ben","social context;social interaction"
"24",24,"we zijn samen iets aan het doen","experience of social context when in virtual company","we are doing something together","appraisal;social context","social context","","appraisal","","social interaction;activity","","Milla;Ben","appraisal;social interaction;activity"
"25",25,"ik voel me op mijn gemak in dit gezelschap","experience of social context when in virtual company","i feel comfortable in this company","appraisal;social context;social support","social context","","appraisal;social support","","","social experience","Milla;Ben","appraisal;social support"
"26",26,"ik voel me gewaardeerd door dit gezelschap","experience of social context when in virtual company","i feel valued in this company","appraisal;social context;social support","social context","","appraisal;social support","","","social experience","Milla;Ben","appraisal;social support"
"27",27,"ik hoor erbij","experience of social context when in virtual company","i belong with the people i am interacting with","appraisal;social context;social interaction;social support","social context;social interaction","","appraisal;social support","","","social experience","Milla;Ben","appraisal;social support"
"28",28,"ik zou graag virtueel in contact zijn met anderen","experience of being alone and not interacting with others virtually","i would like to be in virtual contact with others","appraisal","","","appraisal","","","social experience","Milla;Ben","appraisal"
"29",29,"hier heb ik zelf voor gekozen","experience of being alone and not interacting with others virtually","this is my choice","appraisal","","","appraisal","","","social experience","Milla;Ben","appraisal"
"30",30,"ik voel me buitengesloten","experience of being alone and not interacting with others virtually","i feel like an outsider","appraisal","","","appraisal","","","social experience","Milla;Ben","appraisal"
"31",31,"wat ben je aan het doen?","physical context","what are you doing?","activity","","","activity","","","","Milla;Ben","activity"
"32",32,"dit vind ik leuk","experience of physical context","i like this activity","activity;appraisal","","","activity;appraisal","","","","Milla;Ben","activity;appraisal"
"33",33,"ik zou liever iets anders te doen","experience of physical context","i would rather do something else","appraisal","","","appraisal","","activity","","Milla;Ben","appraisal;activity"
"34",34,"dit is moeilijk voor mij","experience of physical context","this is difficult for me","appraisal","","","appraisal","","activity","","Milla;Ben","appraisal;activity"
"35",35,"ik kan dit goed","experience of physical context","i am good at this","appraisal","","","appraisal","","activity","","Milla;Ben","appraisal;activity"
"36",36,"ik ben actief bezig","experience of physical context","i am actively engaged","appraisal","","","appraisal","","activity","","Milla;Ben","appraisal;activity"
"37",37,"waar ben je?","physical context","where are you?","location","","","location","","","","Milla;Ben","location"
"38",38,"ik ben moe","physiological state","i am tired","fatigue;physical health","","","fatigue;physical health","","negative affect","","Milla;Ben","fatigue;physical health;negative affect"
"39",39,"ik heb honger","physiological state","i am hungry","physical health","","","physical health","","","","Milla;Ben","physical health"
"40",40,"ik voel me niet lekker","physiological state","i feel physically unwell","physical health","","","physical health","","","","Milla;Ben","physical health"
"41",41,"ik heb pijn","physiological state","i am in pain","physical health","","","physical health","","","","Milla;Ben","physical health"
"42",42,"sinds de vorige beep: heb je eraan gedach om jezelf te verwonden","suicidal ideation / self-harm","since the previous beep: have you considered harming yourself?","self-harm;suicidality","suicidality","","self-harm","","","","Milla;Ben","self-harm"
"43",43,"in welke mate had je tijdens deze gedachten over zelfverwonding de wens om je leven te beïndigen? ","suicidal intent","during these self-harm thoughts, how much did you wish to end your life?","self-harm;suicidality","self-harm","","suicidality","","self-harm","","Milla;Ben","suicidality;self-harm"
"44",44,"heb je hiernaar gehandeld door jezelf opzettelijk te verwonden, pijn te doen of te vergiftigen?","suicidal/self-harm behaviour","have you actually harmed yourself on purpose by injuring yourself, hurting yourself, or poisoning yourself?","self-harm;suicidality","suicidality","","self-harm","","","","Milla;Ben","self-harm"
"45",45,"sinds de vorige beep heb ik het volgende gebruikt","substance use","since the last beep ive used","substance use","","","substance use","","","","Milla;Ben","substance use"
"46",46,"deze beep stoorde me","disturbance","this beep disturbed me","methodological","","","methodological","","","","Milla;Ben","methodological"
"47",47,"denk aan de belangrijkste situatie voor jou in de komende 2 uur: hoeveel zin heb je in deze situatie?","anticipation of pleasure","think about the most important situation for you in the next 2 hours: how much are you looking forward to this situation?","pleasure","","","pleasure","","","","Milla;Ben","pleasure"
"48",48,"denk aan de belangrijkste situatie voor jou in de komende 2 uur: deze situatie hoort bij de categorie:","anticipation of pleasure","think about the most important situation for you in the next 2 hours: this situation belongs tot he following category:","pleasure;social support","social support","","pleasure","","","","Milla;Ben","pleasure"
"49",49,"ik voel me tevreden","positive affect low arousal","i feel content","arousal;positive affect","arousal","","positive affect","","","","Milla;Ben","positive affect"
"50",50,"ik voel me somber ","negative affect low arousal","i feel down","arousal;negative affect","arousal","","negative affect","","","","Milla;Ben","negative affect"
"51",51,"ik voel me geïrriteerd","negative affect high arousal","i feel irritated","arousal;negative affect","arousal","","negative affect","","","","Milla;Ben","negative affect"
"52",52,"ik voel me opgewekt","positive affect high arousal","i feel cheerful","arousal;positive affect","arousal","","positive affect","","","","Milla;Ben","positive affect"
"53",53,"ik voel me lusteloos","negative affect low arousal","i feel listless","arousal;negative affect","arousal","","negative affect","","","","Milla;Ben","negative affect"
"54",54,"ik voel me onrustig","negative affect high arousal","i feel restless","arousal;negative affect","arousal","","negative affect","","","","Milla;Ben","negative affect"
"55",55,"ik voel me gestrest","stress ","i feel stressed","negative affect;stress","","","negative affect;stress","","","","Milla;Ben","negative affect;stress"
"56",56,"ik voel me energiek","positive affect high arousal","i feel energetic","arousal;positive affect","arousal","","positive affect","","","","Milla;Ben","positive affect"
"57",57,"ik voel me op mijn gemak","n.a.","i feel at ease","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"58",58,"ik voel me moe","negative affect low arousal","i feel tired","arousal;fatigue;negative affect","arousal","","fatigue;negative affect","","","","Milla;Ben","fatigue;negative affect"
"59",59,"ik ervaar lichamelijk ongemak (bijv. hoofdpijn, rugpijn, duizeligheid, misselijkheid)","physical discomfort / somatization ( lichamelijk ongemak / somatisatie )","i am experiencing physical discomfort (e.g., headache, backache, dizziness, nausea)","physical health","","","physical health","","","","Milla;Ben","physical health"
